"X","Y","Y.0","Y.1","mu.0","mu.1","e"
0,2.24757858138569,2.24757858138569,2.80242454210951,2.22970460639866,4.26533729879746,0.311940431959379
0,6.05553737357802,6.05553737357802,8.32661883387415,5.4012149845324,8.00794646248504,0.341458571366125
0,-2.54301023758187,-2.54301023758187,5.51424877398656,-1.77636355438809,4.73113404425781,0.333507285239837
1,5.00964126897766,2.39746835314444,5.00964126897766,1.49582870045442,4.61710412065879,0.317492251702868
1,5.10627054390795,-2.78746853862331,5.10627054390795,-4.31021047152245,4.43173165057825,0.327890353641559
0,1.57084703482416,1.57084703482416,4.88898744045563,1.68860900269561,4.67803731691625,0.309234357560366
0,0.636938295948583,0.636938295948583,4.10081152814972,-0.368061262304514,4.32287406936907,0.301383468211826
1,5.44945700131227,2.63232664693061,5.44945700131227,2.1711829180885,4.47412298897344,0.305373296922814
0,4.55609751028493,4.55609751028493,6.11422109652827,2.99028424338111,5.42908397839335,0.312661268265623
1,8.07230885395176,4.49176215656164,8.07230885395176,6.07082946821632,8.29240493117073,0.346937435753805
1,5.61116282419245,0.838756603122117,5.61116282419245,1.95594156371261,4.55649455171361,0.297470088909861
1,4.79315934821176,2.61997092494913,4.79315934821176,1.66935993206103,4.69386097695441,0.299575172955195
1,13.7089662626189,6.50052770979977,13.7089662626189,8.01908744218829,14.6740835596683,0.529513558510297
0,1.94108729972038,1.94108729972038,4.01554735356298,2.14863731893348,5.13617221937108,0.316549853122093
0,5.90947334740484,5.90947334740484,6.16202390434939,5.1116142814307,8.00353782555544,0.333014004056241
1,3.63321938839473,3.54487961843272,3.63321938839473,2.12012687163439,5.17280988159961,0.307825577110206
0,0.19312289316592,0.19312289316592,3.91847758069965,1.79634738881799,4.4730572824136,0.315212408541533
0,1.99034385113919,1.99034385113919,8.71933347882161,2.69905611447458,5.56867759703145,0.314860838849356
1,17.5267211754261,10.1418122437482,17.5267211754261,10.9289308436673,16.6885162417007,0.528761993969387
0,3.27334555770393,3.27334555770393,4.37530215865179,2.36950982254305,4.19832482957152,0.310888829987533
1,3.80310851045801,2.40908365677855,3.80310851045801,2.63741740041475,3.31672126737966,0.28527626556351
0,-1.49557253130059,-1.49557253130059,2.02377707571132,-0.934746653383072,3.13391471569262,0.291320896870681
0,-3.32963191123522,-3.32963191123522,8.23759120725275,-2.2502268742117,6.6566890961405,0.333093713947974
1,5.765466743333,-3.17293048793794,5.765466743333,-2.13834640348289,5.80827089589488,0.330357106729073
0,1.47121384858146,1.47121384858146,5.72480460615766,2.3839259733072,5.65200195624423,0.325559985486641
1,2.70771693619067,2.84358739613861,2.70771693619067,0.263832458577998,3.25441676426945,0.293967515864155
0,4.02044065999546,4.02044065999546,5.03037792506601,3.62021992796772,4.18661873367078,0.295488612488502
0,1.60470617213053,1.60470617213053,4.40632188680678,1.00979823348502,4.35744211966281,0.302753119364595
0,10.2815948516625,10.2815948516625,18.5566416257559,11.5274898607011,18.1398900230514,0.567441726873881
0,4.8356907504518,4.8356907504518,9.20250999235811,4.31993364730475,6.67702217255916,0.335008001195227
1,3.91989961350142,0.560203233612103,3.91989961350142,0.546887891306464,3.7921049005817,0.303011122210028
0,2.26962966734605,2.26962966734605,5.25072930156326,1.73782570050783,4.68184297258959,0.308607285577936
1,1.23487382689248,-1.62295805999584,1.23487382689248,-1.78507275910955,1.92158365564846,0.281968204723917
0,3.75131308059464,3.75131308059464,6.14772069387274,2.69905611447458,5.56867759703145,0.314860838849356
0,0.777523345777251,0.777523345777251,5.24317200781655,1.43730701214426,4.82588981083478,0.310861042408775
1,5.52850722428914,1.28294961046633,5.52850722428914,1.94312297474707,4.40270372403826,0.314102133470192
0,2.46422162217429,2.46422162217429,6.4884814593423,2.90444223280848,6.00792728743497,0.332070934172402
0,-2.5823307469656,-2.5823307469656,7.18019073539454,-1.02110560102094,5.82970540401156,0.342827229280842
0,18.3547142361041,18.3547142361041,18.9269521161287,17.5273151502724,17.1966073044966,0.561409391401429
0,5.91296458672515,5.91296458672515,6.30865783781561,4.43192631255062,5.85739302249989,0.330366070393269
0,4.73971547700929,4.73971547700929,4.3816657169273,4.84539706132282,5.0775744772764,0.317146252595182
